ingredient,source_medicine_count,source_composition_count,source_evidence,sample_source_medicines,risk_flags,relation_status,review_status
metformin,664,90,Treatment of Type 2 diabetes mellitus | Polycystic ovarian syndrome (PCOS) | Treatment of Polycystic ovarian syndrome (PCOS),Abvida-M 50mg/1000mg Eazy Glide Tablet | Acmeglim-MV 2 Tablet SR | Adglim MP 2mg/500mg/15mg Tablet | Advog M 0.3 Plus Tablet | Aim7 60 XR Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
glimepiride,379,35,Treatment of Type 2 diabetes mellitus,Acmeglim-MV 2 Tablet SR | Adglim MP 2mg/500mg/15mg Tablet | Amaryl 1mg Tablet | Amaryl 2mg Tablet | Amaryl 3mg Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
telmisartan,376,36,Treatment of Hypertension (high blood pressure) | Hypertension (high blood pressure) | Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure | High blood pressure with high cholesterol,Acmetel 40 Tablet | Amlodac T 40 mg/5 mg Tablet | Amlong-TL 40 Tablet | Amlopres TL Tablet | Amlopres Trio Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
paracetamol,352,116,Pain relief | Pain reliefTreatment of Fever | Treatment of Common cold | Treatment of Muscular pain | Pain relief Fever | Treatment of Pain due to muscle spasm | Pain due to muscle spasm | Common cold | Treatment of Abdominal pain | Treatment of Headache,AC Para 100mg/325mg Tablet | Acceclowoc-P Tablet | Ace Proxyvon TH 4 Tablet | Ace Proxyvon Tablet | Ace-Proxyvon SP Tablet,,composition_level_evidence_only,review_required
amlodipine,313,51,Hypertension (high blood pressure) | Treatment of Hypertension (high blood pressure) | Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain) | High blood pressure with high cholesterol,Adp 5mg Tablet | Aginal-AT Tablet | Alsartan AM Tablet | Amace Tablet | Amcard 10 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
montelukast,222,23,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions | Treatment of Sneezing and runny nose due to allergies | Treatment of Respiratory tract disorders associated with viscid mucus | Prevention of Asthma | Treatment and prevention of Chronic obstructive pulmonary disease (COPD)Treatment of Sneezing and runny nose due to allergies | Asthma | Sneezing and runny nose due to allergies | Treatment of Allergic conditions | Treatment of Asthma | Prevention of AsthmaTreatment of Sneezing and runny nose due to allergies,Abmac Tablet | Abrophyll-DM Tablet | Admont-LC Tablet | Afineday Tablet | Air-M Tablet,,composition_level_evidence_only,review_required
methylcobalamin,213,73,Treatment of Neuropathic pain | Neuropathic pain | Treatment of Nutritional deficiencies | Nutritional deficiencies | Treatment of Type 2 diabetes mellitus | Diabetic nerve pain | Polycystic ovarian syndrome (PCOS) | Treatment of Pernicious Anemia Vitamin B12 deficiency | Vitamin B12 deficiency | Treatment of Vitamin & mineral deficiencyTreatment of Diabetic nerve pain,Adnurve SR Tablet | Aeocal Max Softgel Capsule | Aldonil Plus Tablet SR | All 9 NVP Tablet | Alrista Forte Tablet,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
pregabalin,213,37,Treatment of Neuropathic pain | Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia | Neuropathic pain | Diabetic nerve pain,Acenac-N Tablet PR | Adnurve SR Tablet | Alrista Forte Tablet | Amnurite P 10mg/75mg Tablet | Axinerve-NP Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
metoprolol succinate,209,28,Treatment of Hypertension (high blood pressure) | Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine | Hypertension (high blood pressure) | High blood pressure with high cholesterol,Ace Revelol 25/2.5 Tablet ER | Ace Revelol 50/5 Tablet ER | Actiblok IPR 25 Tablet | Amlodac M Tablet PR | Amlokem M 5/50 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
rosuvastatin,209,29,Treatment of High cholesterol Prevention of heart attack and stroke | Treatment of High cholesterolPrevention of Heart attack | Heart attack | Heart attack prevention and high cholesterol | Treatment of Prevention of heart attack and stroke | High cholesterol | High blood pressure with high cholesterol,Acmerose-F Tablet | Advastat 10 Tablet | Advastat F 160mg/10mg Tablet | Arvast 10 Tablet | Arvast 15 Tablet,,composition_level_evidence_only,review_required
domperidone,198,27,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease | Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia | Prevention of Migraine | Treatment of IndigestionTreatment of NauseaTreatment of Vomiting | Treatment of Migraine | Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease | Vertigo | Acidity Stomach ulcers Bloating | Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of IndigestionTreatment of NauseaTreatment of Vomiting,Acera-D Capsule SR | Aciban DSR Capsule | Altapan-DSR Capsule | Anleo-DSR Capsule | Athzol-DSR Capsule,,composition_level_evidence_only,review_required
hydrochlorothiazide,195,34,Hypertension (high blood pressure) | Treatment of Hypertension (high blood pressure) | Treatment of Hypertension (high blood pressure)Treatment of Edema | Prevention of heart attack and stroke,Alsartan-H Tablet | Amlokind-H Tablet | Amlong-H Tablet | Amlopres Trio Tablet | Amlosafe 3D Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
levocetirizine,193,22,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions | Treatment of Allergic conditions | Treatment of Respiratory tract disorders associated with viscid mucus | Cough | Sneezing and runny nose due to allergies | Treatment of Common cold | Cough with mucus | Common cold,AA 5 Tablet | Admont-LC Tablet | Alday Duo 5mg/10mg Tablet | Alerfix Tablet | Alerfix Total Tablet SR,,composition_level_evidence_only,review_required
olmesartan medoxomil,189,26,Hypertension (high blood pressure) | Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke,Asomex-OH Tablet | Nexovas O 40 Tablet | Nexovas O Tablet | Nulong-OL 20 Tablet | Nulong-OL 40 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
atorvastatin,175,34,High cholesterolPrevention of Heart attack | Treatment of High cholesterolPrevention of Heart attack | Heart attack prevention and high cholesterol | High cholesterol | Prevention of Heart attack | Treatment of Prevention of heart attack and stroke | High blood pressure with high cholesterol | Prevention of heart attack and stroke,ATR-F Tablet | Arbitel-AV Tablet | Astin 10 Tablet | Astin 40 Tablet | Astin CV 10 Capsule,,composition_level_evidence_only,review_required
ketoconazole,173,20,Fungal skin infections | Treatment of Dandruff | Treatment of Fungal skin infectionsTreatment of Dandruff | Treatment of Fungal infections | Fungal infections | Treatment of Fungal skin infections | Dandruff | Treatment of Skin infections,AF-K Lotion | Acvaketo Soap | Allyzole Shampoo | Anti Druf Lotion | Arcolane 2% Scalp Solution,,composition_level_evidence_only,review_required
rabeprazole,167,13,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease | Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome | Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome | Pain relief | Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease | Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Ace-Proxyvon CR Tablet | Acendol-R Capsule SR | Acera 20 Capsule | Acera-D Capsule SR | Acera-L Capsule SR,injection_or_parenteral,composition_level_evidence_only,review_required
voglibose,161,21,Treatment of Type 2 diabetes mellitus,Acmeglim-MV 2 Tablet SR | Advog 0.2 Tablet | Advog 0.3 Tablet | Advog M 0.3 Plus Tablet | Amaryl MV 1mg Tablet SR,chronic_or_specialist_condition,composition_level_evidence_only,review_required
aceclofenac,156,31,Pain relief | Treatment of Pain due to muscle spasm | Treatment of Muscular pain | Treatment of Abdominal pain | Treatment of Neuropathic pain | Arthralgia (joint pain) | Pain due to muscle spasm | Muscle pain,AC Para 100mg/325mg Tablet | Acceclowoc-P Tablet | Accept-XL Tablet | Ace Proxyvon TH 4 Tablet | Ace Proxyvon Tablet,,composition_level_evidence_only,review_required
ambroxol,141,54,Treatment of Cough with mucus | Cough | Treatment of Respiratory tract disorders associated with viscid mucus | Cough with mucus | Acute Sore throatTreatment of Cough with mucus | Chronic obstructive pulmonary disease (COPD) | Treatment of Cough | Treatment of Cough with mucusTreatment of Acute Sore throatTreatment of Respiratory tract disorders associated with viscid mucus | Common cold | Respiratory tract infection,Acocontin Tablet CR | Advanced LCF Kid Expectorant | Aerodil  Expectorant | Aerodil-LS Expectorant | Alaspan AM Tablet,,composition_level_evidence_only,review_required
clavulanic acid,139,23,Treatment of Bacterial infections | Treatment of Respiratory tract infection | Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections | Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections | Bacterial infections,Acuclav 1000mg Tablet | Acuclav 625 Tablet | Advent 1.2gm  Injection | Advent 228.5mg Dry Syrup | Advent 228.5mg Dry Syrup Tangy Orange,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
diclofenac,138,49,Pain relief | Treatment of Pain due to muscle spasm | Pain due to muscle spasm | Treatment of Muscular pain | Neuropathic pain | Post-operative eye pain and inflammation Pain relief | Abdominal pain | Treatment of Abdominal pain | Abdominal cramp | Pain relief Swelling,Actiheal-D Tablet | Adine-Plus Tablet | Ark 100mg Tablet SR | Ark 75mg Tablet | Asolt-AT Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
phenylephrine,131,58,Treatment of Common cold | Treatment of Dry cough | Treatment of Allergic eye disease | Common cold | Treatment of Piles | Sneezing and runny nose due to allergies | Treatment of Sneezing and runny nose due to allergies | Eye examination | Treatment of Cough | Dry cough,Alerid Cold Tablet | Alerid-D Tablet | Alex P Paed Drop | Alex P Syrup | Alex Plus Paediatric Oral Drops,,composition_level_evidence_only,review_required
pantoprazole,130,11,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease | Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome | Treatment of Gastroesophageal reflux disease (Acid reflux) | Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease | Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome | Treatment of Peptic ulcer disease | Treatment of Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease | Acidity Heartburn Anxiety,Aciban 40 Tablet | Aciban DSR Capsule | Altapan-DSR Capsule | Anleo-DSR Capsule | Anxipan Capsule,injection_or_parenteral,composition_level_evidence_only,review_required
amoxycillin,128,23,Treatment of Bacterial infections | Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections | Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections | Treatment of Peptic ulcer disease | Bacterial infections | Treatment of Peptic ulcer diseaseTreatment of Bacterial infections,Acuclav 1000mg Tablet | Acuclav 625 Tablet | Acv-LB Tablet | Advent 1.2gm  Injection | Advent 228.5mg Dry Syrup,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
chlorthalidone,128,34,Hypertension (high blood pressure) | Treatment of Hypertension (high blood pressure)Treatment of Edema,Abel-CT 40mg/12.5mg Tablet | Amlodac CH Tablet | Arbitel-CT 40 Tablet | Asar-CT 40/12.5 Tablet | Atecard D Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
